Linux 6.11.0-17-generic (Saldamelik) 	23/02/2025 	_x86_64_	(16 CPU)

18:25:38     CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
18:25:47      15    0,00    0,00    0,99    0,99    0,00    0,00    0,00    0,00    0,00   98,02

18:25:47     CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
18:25:48     all    2,01    0,00    0,82    0,00    0,00    0,00    0,00    0,00    0,00   97,18
18:25:48       0   10,20    0,00    0,00    0,00    0,00    0,00    0,00    0,00    0,00   89,80
18:25:48       1    0,00    0,00    0,00    0,00    0,00    0,00    0,00    0,00    0,00  100,00
18:25:48       2    0,00    0,00    1,01    0,00    0,00    0,00    0,00    0,00    0,00   98,99
18:25:48       3    0,00    0,00    0,00    0,00    0,00    0,00    0,00    0,00    0,00  100,00
18:25:48       4    1,01    0,00    0,00    0,00    0,00    0,00    0,00    0,00    0,00   98,99
18:25:48       5    0,00    0,00    0,00    0,00    0,00    0,00    0,00    0,00    0,00  100,00
18:25:48       6   16,00    0,00    1,00    0,00    0,00    0,00    0,00    0,00    0,00   83,00
18:25:48       7    1,01    0,00    7,07    0,00    0,00    0,00    0,00    0,00    0,00   91,92
18:25:48       8    1,00    0,00    0,00    0,00    0,00    0,00    0,00    0,00    0,00   99,00
18:25:48       9    2,00    0,00    1,00    0,00    0,00    0,00    0,00    0,00    0,00   97,00
18:25:48      10    0,00    0,00    1,00    0,00    0,00    0,00    0,00    0,00    0,00   99,00
18:25:48      11    1,00    0,00    0,00    0,00    0,00    0,00    0,00    0,00    0,00   99,00
18:25:48      12    0,00    0,00    1,00    0,00    0,00    0,00    0,00    0,00    0,00   99,00
18:25:48      13    0,00    0,00    0,00    0,00    0,00    0,00    0,00    0,00    0,00  100,00
18:25:48      14    0,00    0,00    1,00    0,00    0,00    0,00    0,00    0,00    0,00   99,00
18:25:48      15    0,00    0,00    0,00    0,00    0,00    0,00    0,00    0,00    0,00  100,00

Média:      CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
Média:      all    4,23    0,00    1,38    0,04    0,00    0,01    0,00    0,00    0,00   94,33
Média:        0    9,36    0,00    1,53    0,10    0,00    0,00    0,00    0,00    0,00   89,01
Média:        1    4,92    0,00    1,21    0,00    0,00    0,10    0,00    0,00    0,00   93,77
Média:        2   15,74    0,00    1,82    0,00    0,00    0,00    0,00    0,00    0,00   82,44
Média:        3    0,10    0,00    0,10    0,00    0,00    0,00    0,00    0,00    0,00   99,80
Média:        4    8,18    0,00    1,92    0,00    0,00    0,00    0,00    0,00    0,00   89,90
Média:        5    0,00    0,00    0,00    0,00    0,00    0,00    0,00    0,00    0,00  100,00
Média:        6    7,98    0,00    1,52    0,10    0,00    0,00    0,00    0,00    0,00   90,40
Média:        7    1,91    0,00    6,12    0,10    0,00    0,00    0,00    0,00    0,00   91,88
Média:        8    4,23    0,00    1,11    0,00    0,00    0,00    0,00    0,00    0,00   94,66
Média:        9    3,51    0,00    0,90    0,10    0,00    0,00    0,00    0,00    0,00   95,49
Média:       10    3,11    0,00    0,90    0,10    0,00    0,00    0,00    0,00    0,00   95,89
Média:       11    2,31    0,00    0,50    0,00    0,00    0,00    0,00    0,00    0,00   97,18
Média:       12    1,81    0,00    0,80    0,00    0,00    0,00    0,00    0,00    0,00   97,39
Média:       13    1,61    0,00    0,40    0,00    0,00    0,00    0,00    0,00    0,00   97,99
Média:       14    1,22    0,00    2,34    0,00    0,00    0,00    0,00    0,00    0,00   96,45
Média:       15    1,90    0,00    1,00    0,20    0,00    0,00    0,00    0,00    0,00   96,89
